 **************************************************************************************
 ************		        DDFS3D_tri_part2		             **********
 ************	             Algorithm developed by                          **********
 ************	   Kuriyama et al.(1993 & 1995), Tang et al. (2019)          **********
 ************			and Wong and Cui (2021)		             **********
 ************	      Codes developed by Wong and Cui (2021)	             **********
 ************ incorporating the contribution of Kuriyama et al.(1993 & 1995) **********
 ************	          DDFS3D (version 1.0), 31-5-2021		     **********
 **************************************************************************************
 Title: Flawed Brazilian disk(section S3-3 of the companion paper)to verify the triangular element                  
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      3576
 Number of nodes   :      1794
 Computing time    :    861.14 s
Stresses and displacments at the controid of each element in the respective local c
  No.	    Szx            Szy          Szz            Ux            Uy           Uz 
  203   -2.3960E-08   -2.5266E-08   -5.8473E-08   -2.4761E-04    2.4014E-03   -3.7127E-03
  204    3.7185E-09    1.9560E-08    3.9133E-08    2.5313E-04   -2.4237E-03   -3.2107E-03
  205    3.1801E-09   -2.3784E-07   -2.3726E-08   -9.4261E-05    2.3183E-03   -3.7676E-03
  206   -1.4571E-09    1.1419E-07   -4.3618E-08    1.2933E-04   -2.3149E-03   -3.2837E-03
  207   -2.6874E-10   -2.4688E-07   -5.5839E-08    8.9105E-05    2.2934E-03   -3.7850E-03
  208   -1.2217E-10    4.5662E-08   -1.8344E-08   -2.9817E-05   -2.2714E-03   -3.3126E-03
  209    1.5001E-08   -3.6932E-07   -1.6879E-08    2.6732E-04    2.3191E-03   -3.7724E-03
  210   -6.5914E-09    2.8948E-07   -1.9532E-07   -1.9518E-04   -2.2809E-03   -3.3101E-03
  211    1.2061E-08   -3.5152E-08   -8.1483E-08    4.0655E-04    2.4101E-03   -3.7173E-03
  212    1.7691E-08    4.3574E-08   -1.4394E-07   -3.3487E-04   -2.3505E-03   -3.2711E-03
  213   -5.9743E-09   -5.9620E-08   -8.1078E-08    4.8908E-04    2.5952E-03   -3.5881E-03
  214    2.0678E-12   -5.6051E-08   -1.2042E-08   -4.2768E-04   -2.5027E-03   -3.1731E-03
  215   -3.0548E-08    3.1865E-08   -7.8988E-08    5.3571E-04    2.8933E-03   -3.3486E-03
  216   -2.5548E-08   -2.6327E-08    1.9792E-08   -4.8207E-04   -2.7548E-03   -2.9861E-03
  217   -1.6682E-08   -1.5390E-07    3.1182E-08   -3.0346E-04    2.9364E-03   -1.8432E-03
  218    4.7158E-08   -6.2859E-08    2.4301E-07    3.0764E-04   -2.9932E-03   -1.3864E-03
  219   -1.1568E-08   -8.0935E-08    4.3057E-08   -2.4312E-04    2.7092E-03   -2.0467E-03
  220   -1.0032E-09   -9.7201E-08    9.2871E-08    2.3512E-04   -2.7552E-03   -1.5863E-03
  221    1.2294E-08   -1.8006E-07    2.9818E-08   -1.6515E-04    2.5561E-03   -2.1710E-03
  222   -3.4281E-09    2.0227E-08   -1.8105E-07    1.7019E-04   -2.5816E-03   -1.7300E-03
  223    1.1670E-08   -2.1224E-07   -1.6962E-07   -5.3457E-05    2.4736E-03   -2.2337E-03
  224    1.6478E-09    6.4924E-08   -9.8319E-09    7.8824E-05   -2.4777E-03   -1.8097E-03
  225    5.3782E-09   -5.5041E-08   -2.6250E-07    7.9021E-05    2.4490E-03   -2.2537E-03
  226   -2.5316E-09   -5.0113E-08    8.0337E-08   -3.5859E-05   -2.4348E-03   -1.8427E-03
  227    8.3066E-09   -1.7388E-07   -1.3677E-07    2.0767E-04    2.4782E-03   -2.2368E-03
  228    3.4015E-09   -1.6497E-07    1.1091E-07   -1.5470E-04   -2.4466E-03   -1.8383E-03
  229    7.7814E-09   -1.7073E-07    2.2973E-08    3.0947E-04    2.5701E-03   -2.1738E-03
