 *************************************************************************
 ************		    FSM3D_qua_part1		        **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section 3.2 of the companion paper)to verify the quadrilateral element                               
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      1857
 Number of nodes   :      1859
 Times of iteration:       209
 Computing time    :     44.08 s
 Coordinates of center of gravity and fictitous stresses of each element:
  No.	     Gx            Gy            Gz            Px            Py           Pz 
   80    1.5034E+01   -4.7643E+01    2.5000E+00    1.4964E-03   -2.3814E-02   -2.0320E-02
   81    1.8869E+01   -4.6258E+01    4.7500E+01    5.8581E-05   -1.6806E-02   -1.1313E-02
   82    1.8869E+01   -4.6258E+01    4.2500E+01   -2.5774E-03   -2.0394E-02   -5.0484E-03
   83    1.8869E+01   -4.6258E+01    3.7500E+01   -2.8309E-03   -2.1281E-02   -1.2247E-03
   84    1.8869E+01   -4.6258E+01    3.2500E+01   -1.9542E-03   -2.1312E-02    9.9991E-04
   85    1.8869E+01   -4.6258E+01    2.7500E+01   -6.2663E-04   -2.1224E-02    2.0009E-03
   86    1.8869E+01   -4.6258E+01    2.2500E+01    8.1151E-04   -2.1228E-02    1.9929E-03
   87    1.8869E+01   -4.6258E+01    1.7500E+01    2.1436E-03   -2.1321E-02    9.7406E-04
   88    1.8869E+01   -4.6258E+01    1.2500E+01    3.0283E-03   -2.1297E-02   -1.2750E-03
   89    1.8869E+01   -4.6258E+01    7.5000E+00    2.7827E-03   -2.0413E-02   -5.1404E-03
   90    1.8869E+01   -4.6258E+01    2.5000E+00    1.4798E-04   -1.6799E-02   -1.1493E-02
   91    2.2577E+01   -4.4566E+01    4.7500E+01    8.4497E-04   -1.2144E-02   -4.8524E-03
   92    2.2577E+01   -4.4566E+01    4.2500E+01   -1.0534E-03   -1.5294E-02   -1.7584E-03
   93    2.2577E+01   -4.4566E+01    3.7500E+01   -1.5889E-03   -1.6441E-02    5.3488E-04
   94    2.2577E+01   -4.4566E+01    3.2500E+01   -1.2276E-03   -1.6727E-02    2.0533E-03
   95    2.2577E+01   -4.4566E+01    2.7500E+01   -3.9648E-04   -1.6757E-02    2.7877E-03
   96    2.2577E+01   -4.4566E+01    2.2500E+01    5.7358E-04   -1.6760E-02    2.7793E-03
   97    2.2577E+01   -4.4566E+01    1.7500E+01    1.4087E-03   -1.6734E-02    2.0261E-03
   98    2.2577E+01   -4.4566E+01    1.2500E+01    1.7775E-03   -1.6452E-02    4.8109E-04
   99    2.2577E+01   -4.4566E+01    7.5000E+00    1.2477E-03   -1.5305E-02   -1.8562E-03
  100    2.2577E+01   -4.4566E+01    2.5000E+00   -6.4482E-04   -1.2130E-02   -5.0218E-03
  101    2.6135E+01   -4.2577E+01    4.7500E+01    1.2744E-03   -8.8710E-03    7.2590E-05
