 *************************************************************************
 ************		    FSM3D_tri_part2		        **********
 ************	      Algorithm developed by                    **********
 ************	  Kuriyama et al.(1995) and Wong & Cui (2021)   **********
 ************	   Codes developed by Wong & Cui (2021)	        **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section S3-2 of the companion paper)to verify the triangular element                                                      
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      3504
 Number of nodes   :      1754
 Computing time    :    826.73 s
Stresses and displacments at the controid of each element in the respective local c
  No.	    Szx            Szy          Szz            Ux            Uy           Uz 
   87    9.5181E-07   -5.7691E-06   -1.5927E-06    3.4759E-06    4.3353E-06   -2.4286E-05
   88   -7.7264E-07    5.3610E-06   -7.7424E-07   -2.9736E-06   -3.9608E-06   -2.2364E-05
   89    1.3747E-07   -4.7624E-06   -4.0058E-06    3.5017E-06    6.0761E-06   -2.3280E-05
   90   -3.3249E-07    4.7555E-06   -2.3075E-06   -3.1782E-06   -5.3012E-06   -2.1788E-05
   91    4.0242E-08   -3.7816E-06   -1.4723E-06   -2.4582E-06    6.8698E-06   -1.7607E-05
   92   -3.0769E-07    3.0498E-06   -1.3681E-06    2.2118E-06   -7.2942E-06   -1.5610E-05
   93   -4.4610E-07   -4.4399E-06   -4.9816E-07   -2.2961E-06    5.6118E-06   -1.8288E-05
   94    2.6246E-07    3.9237E-06   -4.2670E-07    2.1196E-06   -5.9038E-06   -1.6495E-05
   95   -4.7756E-07   -4.5960E-06    1.5794E-07   -1.7411E-06    4.9695E-06   -1.8492E-05
   96    3.9916E-07    4.2206E-06    2.2282E-07    1.7487E-06   -5.0864E-06   -1.6818E-05
   97   -2.5670E-07   -4.5979E-06    5.1914E-07   -8.5121E-07    4.7068E-06   -1.8529E-05
   98    2.6906E-07    4.2811E-06    6.2273E-07    1.0451E-06   -4.7048E-06   -1.6906E-05
   99    6.0915E-08   -4.5925E-06    6.1287E-07    1.9797E-07    4.6414E-06   -1.8536E-05
  100    1.6902E-08    4.2850E-06    7.7661E-07    1.3664E-07   -4.5743E-06   -1.6925E-05
  101    3.6994E-07   -4.6062E-06    4.4892E-07    1.2193E-06    4.7262E-06   -1.8543E-05
  102   -2.4884E-07    4.2903E-06    6.9803E-07   -8.0421E-07   -4.6118E-06   -1.6932E-05
  103    5.5714E-07   -4.5815E-06    3.8021E-10    2.0260E-06    5.0495E-06   -1.8494E-05
  104   -4.2953E-07    4.2723E-06    3.8066E-07   -1.6022E-06   -4.8580E-06   -1.6901E-05
  105    4.5687E-07   -4.3247E-06   -7.6970E-07    2.4610E-06    5.8246E-06   -1.8212E-05
