 *************************************************************************
 ************		    DDFS3D_qua_part2		       **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Flawed Brazilian disk(section 3.3 of the companion paper)to verify the quadrilateral element                                                    
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      2094
 Number of nodes   :      2102
 Computing time    :    223.50 s
Stresses and displacments at the controid of each element in the respective local c
  No.	    Szx            Szy          Szz            Ux            Uy           Uz 
   69    1.4234E-07    1.5511E-06   -4.4187E-08   -1.3869E-03   -2.3918E-04   -1.5459E-02
   70   -9.1723E-09    1.3017E-06    1.4693E-07   -9.4668E-04   -2.3096E-04   -1.5448E-02
   71   -2.2022E-08   -2.1398E-06   -2.2555E-07   -4.7346E-04   -2.0862E-04   -1.5430E-02
   72    5.1472E-09    8.9092E-07    5.5373E-09    2.7348E-06   -1.9895E-04   -1.5421E-02
   73    3.4783E-08    1.5263E-06    2.8987E-07    4.7844E-04   -2.0668E-04   -1.5426E-02
   74    2.4276E-07    2.4192E-06    3.0049E-07    9.4980E-04   -2.2609E-04   -1.5442E-02
   75   -1.0073E-07    1.3744E-06    1.7445E-07    1.3854E-03   -2.2806E-04   -1.5448E-02
   76    2.1724E-07    6.3652E-07   -1.6101E-07    1.6804E-03   -1.0089E-04   -1.5367E-02
   77    1.8250E-07   -1.6142E-07    1.0099E-06    1.6492E-03    4.9341E-04   -1.4868E-02
   78   -8.0677E-08    4.1036E-07   -1.1101E-07   -1.2767E-03    1.2980E-03   -1.1512E-02
   79    6.5938E-09   -1.4606E-07   -3.9825E-07   -1.3027E-03    8.0092E-04   -1.1911E-02
   80   -1.1001E-07    2.5796E-07   -3.5224E-08   -1.1186E-03    6.2414E-04   -1.2008E-02
   81   -1.6124E-07   -2.5483E-07   -4.2249E-08   -7.9580E-04    5.8571E-04   -1.2017E-02
   82    2.7943E-08    1.9451E-06   -2.5382E-07   -4.0824E-04    5.8793E-04   -1.2008E-02
   83    3.3097E-08    1.0026E-06    7.7479E-08    1.7866E-06    5.9253E-04   -1.2002E-02
   84    3.3996E-08    1.3022E-06    1.3538E-07    4.1116E-04    5.9036E-04   -1.2004E-02
   85    4.1335E-08   -5.0308E-07   -1.3354E-08    7.9652E-04    5.9166E-04   -1.2010E-02
