 *************************************************************************
 ************		    DDM3D_qua_part1		        **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Penny shape crack(section 3.1 of the companion paper)to verify the quadrilateral element                                  
 Modulus=  4.0000E+04  Poisson ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      1038
 Number of nodes   :      1091
 Times of iteration:        59
 Computing time    :      9.62 s
 Coordinates of center of gravity and displacement discontinuities of each element:
  No.	     Gx            Gy            Gz            Dx            Dy           Dz 
  103   -5.4329E-01    6.0231E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.6138E-05
  104   -4.9745E-01    6.2027E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.7446E-05
  105   -4.5005E-01    6.3688E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.8628E-05
  106   -4.0152E-01    6.5187E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.9677E-05
  107   -3.5191E-01    6.6546E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.0579E-05
  108   -3.0121E-01    6.7810E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.1314E-05
  109   -3.0796E-01    7.3621E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.7430E-05
  110   -3.1554E-01    7.9365E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.2746E-05
  111   -3.2520E-01    8.5084E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.6790E-05
  112   -3.3828E-01    9.0863E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.8295E-05
  113   -3.5855E-01    7.2188E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.6772E-05
  114   -3.6699E-01    7.7719E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.2182E-05
  115   -3.7835E-01    8.3203E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.6333E-05
  116   -3.9350E-01    8.8725E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.7981E-05
  117   -4.0799E-01    7.0609E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.5973E-05
  118   -4.1722E-01    7.5878E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.1497E-05
  119   -4.3003E-01    8.1078E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.5779E-05
  120   -4.4698E-01    8.6294E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.7602E-05
  121   -4.5610E-01    6.8884E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.5044E-05
  122   -4.6593E-01    7.3866E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.0688E-05
  123   -4.8016E-01    7.8710E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.5136E-05
  124   -4.9866E-01    8.3576E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.7167E-05
  125   -5.0297E-01    6.6957E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.4006E-05
  126   -5.1319E-01    7.1625E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.9805E-05
  127   -5.2864E-01    7.6085E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.4434E-05
  128   -5.4844E-01    8.0574E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.6693E-05
  129   -5.4863E-01    6.4769E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.2895E-05
  130   -5.5921E-01    6.9069E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.8895E-05
  131   -5.7531E-01    7.3184E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.3710E-05
  132   -5.9613E-01    7.7296E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.6207E-05
  133   -5.9180E-01    6.2449E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.1717E-05
  134   -6.0282E-01    6.6303E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.7958E-05
  135   -6.1960E-01    7.0036E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.2993E-05
  136   -6.4144E-01    7.3760E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.5736E-05
  137   -6.3045E-01    6.0157E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.0524E-05
  138   -6.4247E-01    6.3423E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.7074E-05
  139   -6.6076E-01    6.6671E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.2357E-05
  140   -6.8404E-01    6.9986E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.5333E-05
  141   -6.6195E-01    5.8011E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.9522E-05
  142   -6.7705E-01    6.0400E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.6445E-05
  143   -6.9807E-01    6.3098E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.1937E-05
  144   -7.2352E-01    6.6007E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.5071E-05
  145   -7.6005E-01    6.1776E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.5048E-05
  146   -7.9389E-01    5.7264E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.5264E-05
  147   -8.2499E-01    5.2505E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.5619E-05
  148   -8.5324E-01    4.7536E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.6041E-05
  149   -8.7848E-01    4.2390E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.6490E-05
  150   -9.0075E-01    3.7078E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.6928E-05
  151   -9.1995E-01    3.1623E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.7343E-05
  152   -9.3596E-01    2.6048E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.7727E-05
  153   -9.4873E-01    2.0376E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.8073E-05
  154   -9.5824E-01    1.4624E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.8366E-05
  155   -9.6451E-01    8.8120E-02    0.0000E+00    0.0000E+00    0.0000E+00   -1.8584E-05
  156   -9.6769E-01    2.9534E-02    0.0000E+00    0.0000E+00    0.0000E+00   -1.8691E-05
  157   -7.3147E-01    5.9220E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.1911E-05
  158   -7.6157E-01    5.4969E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.2275E-05
  159   -7.8878E-01    5.0408E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.2850E-05
  160   -8.1311E-01    4.5615E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.3511E-05
  161   -8.3457E-01    4.0640E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.4189E-05
  162   -8.5326E-01    3.5504E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.4841E-05
  163   -8.6910E-01    3.0242E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.5453E-05
  164   -8.8200E-01    2.4880E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.6014E-05
  165   -8.9195E-01    1.9441E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.6515E-05
  166   -8.9905E-01    1.3942E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.6936E-05
  167   -9.0351E-01    8.3975E-02    0.0000E+00    0.0000E+00    0.0000E+00   -2.7247E-05
  168   -9.0582E-01    2.8143E-02    0.0000E+00    0.0000E+00    0.0000E+00   -2.7398E-05
  169   -7.0587E-01    5.7037E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.6424E-05
  170   -7.3053E-01    5.3155E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.6999E-05
  171   -7.5284E-01    4.8833E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.7820E-05
  172   -7.7290E-01    4.4207E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.8706E-05
  173   -7.9064E-01    3.9362E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.9576E-05
  174   -8.0593E-01    3.4357E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.0398E-05
  175   -8.1862E-01    2.9236E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.1158E-05
  176   -8.2864E-01    2.4032E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.1847E-05
  177   -8.3601E-01    1.8764E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.2456E-05
  178   -8.4093E-01    1.3450E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.2963E-05
  179   -8.4381E-01    8.1011E-02    0.0000E+00    0.0000E+00    0.0000E+00   -3.3333E-05
  180   -8.4532E-01    2.7229E-02    0.0000E+00    0.0000E+00    0.0000E+00   -3.3517E-05
  181   -6.8351E-01    5.5480E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.9515E-05
  182   -6.9992E-01    5.2022E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.0469E-05
  183   -7.1657E-01    4.7872E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.1595E-05
  184   -7.3242E-01    4.3324E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.2709E-05
  185   -7.4664E-01    3.8537E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.3759E-05
  186   -7.5876E-01    3.3598E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.4729E-05
  187   -7.6853E-01    2.8559E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.5612E-05
  188   -7.7588E-01    2.3451E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.6404E-05
  189   -7.8085E-01    1.8294E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.7097E-05
  190   -7.8370E-01    1.3103E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.7673E-05
  191   -7.8498E-01    7.8883E-02    0.0000E+00    0.0000E+00    0.0000E+00   -3.8097E-05
  192   -7.8549E-01    2.6550E-02    0.0000E+00    0.0000E+00    0.0000E+00   -3.8318E-05
  193    6.6845E-01    7.2015E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.3783E-05
  194    6.2645E-01    7.5568E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.4183E-05
  195    5.8119E-01    7.8925E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.4743E-05
  196    5.3286E-01    8.2083E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.5318E-05
  197    4.8186E-01    8.5008E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.5857E-05
  198    4.2861E-01    8.7658E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.6350E-05
  199    3.7350E-01    9.0003E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.6798E-05
  200    3.1682E-01    9.2021E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.7203E-05
  201    2.5885E-01    9.3699E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.7568E-05
  202    1.9983E-01    9.5028E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.7890E-05
  203    1.4000E-01    9.5999E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.8170E-05
  204    7.9579E-02    9.6607E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.8404E-05
  205    1.8815E-02    9.6851E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.8592E-05
  206   -4.2067E-02    9.6728E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.8727E-05
  207   -1.0284E-01    9.6243E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.8801E-05
  208   -1.6329E-01    9.5399E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.8802E-05
  209   -2.2314E-01    9.4203E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.8723E-05
  210   -2.8155E-01    9.2689E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.8546E-05
  211    6.4874E-01    6.9589E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.9863E-05
  212    6.0977E-01    7.2571E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.0591E-05
  213    5.6624E-01    7.5428E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.1517E-05
  214    5.1910E-01    7.8169E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.2413E-05
  215    4.6900E-01    8.0741E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.3235E-05
  216    4.1667E-01    8.3079E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.3978E-05
  217    3.6262E-01    8.5137E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.4646E-05
  218    3.0722E-01    8.6891E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.5248E-05
  219    2.5072E-01    8.8325E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.5785E-05
  220    1.9337E-01    8.9433E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.6258E-05
  221    1.3539E-01    9.0210E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.6664E-05
  222    7.6970E-02    9.0655E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.7002E-05
  223    1.8327E-02    9.0767E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.7267E-05
  224   -4.0350E-02    9.0552E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.7455E-05
  225   -9.8884E-02    9.0018E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.7553E-05
  226   -1.5709E-01    8.9180E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.7548E-05
  227   -2.1465E-01    8.8052E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.7428E-05
  228   -2.7073E-01    8.6691E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.7164E-05
  229    6.3545E-01    6.7520E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.3552E-05
  230    5.9988E-01    6.9576E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.4840E-05
  231    5.5790E-01    7.1840E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.6151E-05
  232    5.1186E-01    7.4162E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.7313E-05
  233    4.6212E-01    7.6425E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.8359E-05
  234    4.1018E-01    7.8495E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.9290E-05
  235    3.5668E-01    8.0308E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.0124E-05
  236    3.0201E-01    8.1830E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.0872E-05
  237    2.4642E-01    8.3050E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.1537E-05
  238    1.9013E-01    8.3964E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.2117E-05
  239    1.3333E-01    8.4571E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.2612E-05
  240    7.6221E-02    8.4870E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.3019E-05
  241    1.8975E-02    8.4867E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.3335E-05
  242   -3.8241E-02    8.4566E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.3554E-05
  243   -9.5270E-02    8.3983E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.3666E-05
