 *************************************************************************
 ************		    FSM3D_qua_part2		        **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section 3.2 of the companion paper)to verify the quadrilateral element                                     
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      1857
 Number of nodes   :      1859
 Computing time    :    173.44 s
Stresses and displacments at the controid of each element in the respective local coor
  No.	    Szx            Szy          Szz            Ux            Uy           Uz 
  107    5.3951E-11   -1.4420E-09    6.6050E-11    1.0303E-06    7.2873E-06   -1.1073E-05
  108    2.6815E-11   -1.1987E-09    2.1390E-10    1.4544E-06    7.6626E-06   -1.0927E-05
  109   -3.5946E-11    6.5808E-10    2.6314E-10    1.7023E-06    8.3261E-06   -1.0589E-05
  110   -2.0461E-10    1.3457E-10    2.0850E-10    1.8375E-06    9.2873E-06   -9.9407E-06
  111   -4.9070E-11   -2.7456E-10    3.2753E-10   -1.1319E-06    9.5759E-06   -5.6289E-06
  112   -3.6493E-11   -3.0155E-10    2.4605E-10   -9.5385E-07    8.8140E-06   -6.1826E-06
  113   -8.2935E-12    7.0381E-10    1.0230E-10   -7.5069E-07    8.2334E-06   -6.5422E-06
  114   -2.0288E-11    3.4526E-11    5.4949E-10   -4.4717E-07    7.8746E-06   -6.7344E-06
  115   -4.8022E-11   -2.3928E-09    5.3972E-10   -5.4563E-08    7.7105E-06   -6.8173E-06
  116   -2.6870E-11   -2.8862E-10    9.1199E-11    3.7169E-07    7.7136E-06   -6.8245E-06
  117    9.2611E-12   -3.0523E-10   -2.8305E-11    7.6301E-07    7.8843E-06   -6.7558E-06
  118    1.6770E-11    3.8437E-10    2.1994E-10    1.0637E-06    8.2510E-06   -6.5773E-06
  119   -4.5845E-11   -2.3271E-11    3.6998E-10    1.2618E-06    8.8415E-06   -6.2298E-06
  120    1.0549E-10    1.1826E-10    9.0508E-11    1.4313E-06    9.6143E-06   -5.6834E-06
  121    2.0987E-10   -5.8033E-11   -4.2706E-11   -8.6779E-07    9.6035E-06   -1.9368E-06
  122    1.0902E-10   -2.7174E-10    3.6077E-10   -6.6284E-07    9.0017E-06   -2.3944E-06
  123   -1.1702E-11    1.4971E-10    1.3227E-10   -4.8923E-07    8.5023E-06   -2.7463E-06
  124   -1.8530E-11   -2.7438E-10    2.3816E-10   -2.6907E-07    8.1721E-06   -2.9553E-06
  125   -4.6926E-11   -3.5681E-11    1.1151E-10    3.7398E-09    8.0140E-06   -3.0519E-06
  126   -4.7486E-11    1.8275E-10    8.5816E-11    2.9769E-07    8.0182E-06   -3.0581E-06
  127   -1.4919E-11    8.7331E-11   -1.1748E-10    5.6936E-07    8.1849E-06   -2.9739E-06
  128   -4.1578E-11    2.2764E-10    3.3826E-10    7.8710E-07    8.5249E-06   -2.7768E-06
  129   -3.2855E-11    1.0252E-10    1.1703E-10    9.5669E-07    9.0360E-06   -2.4354E-06
  130    6.3924E-11   -8.6846E-11    4.5702E-10    1.1548E-06    9.6511E-06   -1.9845E-06
  131    1.1720E-10   -1.1668E-10    1.4324E-11   -6.9798E-07    9.3813E-06    1.2861E-06
  132   -1.6377E-10   -2.7597E-10    3.3621E-10   -4.7134E-07    8.9117E-06    9.1682E-07
  133   -4.5516E-11   -4.8368E-11   -5.0408E-11   -3.1393E-07    8.4920E-06    5.8266E-07
  134   -1.2965E-11    1.0519E-10    2.0473E-10   -1.4848E-07    8.1997E-06    3.6807E-07
  135   -6.1485E-11    1.3841E-10   -6.4918E-11    4.1902E-08    8.0553E-06    2.6422E-07
