 *************************************************************************
 ************		    FSM3D_tri_part1		        **********
 ************	      Algorithm developed by                    **********
 ************	  Kuriyama et al.(1995) and Wong & Cui (2021)   **********
 ************	   Codes developed by Wong & Cui (2021)	        **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section S3-2 of the companion paper)to verify the triangular element                                  
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      3504
 Number of nodes   :      1754
 Times of iteration:       239
 Computing time    :    321.10 s
 Coordinates of center of gravity and fictitous stresses of each element:
  No.	     Gx            Gy            Gz            Px            Py           Pz 
   70    1.5498E+01   -4.7500E+01    9.2593E+00   -5.2474E-03    2.8354E-02   -5.1530E-03
   71    1.4217E+01   -4.7899E+01    1.8519E+00    1.9681E-03   -2.6452E-02   -2.7009E-02
   72    1.5498E+01   -4.7500E+01    3.7037E+00   -3.6943E-03    2.6381E-02   -1.5370E-02
   73    1.8025E+01   -4.6599E+01    4.6296E+01   -1.4209E-03   -2.0368E-02   -1.1778E-02
   74    1.9270E+01   -4.6098E+01    4.8148E+01   -5.9100E-04    1.6697E-02   -1.2025E-02
   75    1.8025E+01   -4.6599E+01    4.0741E+01   -3.5553E-03   -2.3021E-02   -4.8000E-03
   76    1.9270E+01   -4.6098E+01    4.2593E+01    2.5966E-03    2.0577E-02   -4.4529E-03
   77    1.8025E+01   -4.6599E+01    3.5185E+01   -3.0246E-03   -2.3233E-02   -8.7302E-04
   78    1.9270E+01   -4.6098E+01    3.7037E+01    2.8253E-03    2.1373E-02   -2.6157E-04
   79    1.8025E+01   -4.6599E+01    2.9630E+01   -1.4634E-03   -2.3030E-02    1.0385E-03
   80    1.9270E+01   -4.6098E+01    3.1481E+01    1.7534E-03    2.1304E-02    2.0038E-03
   81    1.8025E+01   -4.6599E+01    2.4074E+01    3.7757E-04   -2.2967E-02    1.4862E-03
   82    1.9270E+01   -4.6098E+01    2.5926E+01    2.2190E-04    2.1210E-02    2.8321E-03
   83    1.8025E+01   -4.6599E+01    1.8519E+01    2.1870E-03   -2.3120E-02    6.1264E-04
   84    1.9270E+01   -4.6098E+01    2.0370E+01   -1.3661E-03    2.1286E-02    2.4490E-03
   85    1.8025E+01   -4.6599E+01    1.2963E+01    3.5808E-03   -2.3315E-02   -1.8686E-03
   86    1.9270E+01   -4.6098E+01    1.4815E+01   -2.6840E-03    2.1453E-02    7.4658E-04
   87    1.8025E+01   -4.6599E+01    7.4074E+00    3.6256E-03   -2.2672E-02   -6.6591E-03
   88    1.9270E+01   -4.6098E+01    9.2593E+00   -3.1001E-03    2.1190E-02   -2.7059E-03
   89    1.8025E+01   -4.6599E+01    1.8519E+00    2.3319E-04   -1.8562E-02   -1.6052E-02
   90    1.9270E+01   -4.6098E+01    3.7037E+00   -1.4816E-03    1.8882E-02   -8.8173E-03
   91    2.1716E+01   -4.4998E+01    4.6296E+01    4.2317E-05   -1.4845E-02   -6.0107E-03
   92    2.2917E+01   -4.4398E+01    4.8148E+01   -1.3140E-03    1.2108E-02   -5.2081E-03
   93    2.1716E+01   -4.4998E+01    4.0741E+01   -1.8012E-03   -1.7483E-02   -2.1685E-03
   94    2.2917E+01   -4.4398E+01    4.2593E+01    1.0075E-03    1.5504E-02   -1.4927E-03
   95    2.1716E+01   -4.4998E+01    3.5185E+01   -1.8750E-03   -1.8128E-02    4.1422E-04
   96    2.2917E+01   -4.4398E+01    3.7037E+01    1.5946E-03    1.6636E-02    1.0751E-03
   97    2.1716E+01   -4.4998E+01    2.9630E+01   -9.7759E-04   -1.8161E-02    1.8211E-03
   98    2.2917E+01   -4.4398E+01    3.1481E+01    1.1118E-03    1.6850E-02    2.6656E-03
