 *************************************************************************
 ************		    DDFS3D_qua_part1		       **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Flawed Brazilian disk(section 3.3 of the companion paper)to verify the quadrilateral element                               
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      2094
 Number of nodes   :      2102
 Times of iteration:        94
 Computing time    :     40.89 s
 Coordinates of center of gravity and DD/FS of each element:
 No.	     Gx            Gy            Gz           Dx/Px         Dy/Py         Dz/Pz
   76    1.0971E+01   -4.8740E+01    6.8182E+00    2.6772E+00   -1.5564E+01   -7.1040E+00
   77    1.0971E+01   -4.8740E+01    2.2727E+00    7.0138E-01   -1.4230E+01   -1.4098E+01
   78    1.4857E+01   -4.7699E+01    4.7727E+01   -3.3393E-01   -1.0061E+01   -9.3708E+00
   79    1.4857E+01   -4.7699E+01    4.3182E+01   -1.6818E+00   -1.1103E+01   -5.0320E+00
   80    1.4857E+01   -4.7699E+01    3.8636E+01   -1.6194E+00   -1.1209E+01   -2.8312E+00
   81    1.4857E+01   -4.7699E+01    3.4091E+01   -1.1460E+00   -1.1103E+01   -1.6510E+00
   82    1.4857E+01   -4.7699E+01    2.9545E+01   -5.7801E-01   -1.1015E+01   -1.0731E+00
   83    1.4857E+01   -4.7699E+01    2.5000E+01   -4.3477E-03   -1.0985E+01   -8.9927E-01
   84    1.4857E+01   -4.7699E+01    2.0455E+01    5.6855E-01   -1.1016E+01   -1.0713E+00
   85    1.4857E+01   -4.7699E+01    1.5909E+01    1.1334E+00   -1.1105E+01   -1.6485E+00
   86    1.4857E+01   -4.7699E+01    1.1364E+01    1.5985E+00   -1.1209E+01   -2.8312E+00
   87    1.4857E+01   -4.7699E+01    6.8182E+00    1.6393E+00   -1.1087E+01   -5.0429E+00
   88    1.4857E+01   -4.7699E+01    2.2727E+00    2.2403E-01   -9.9565E+00   -9.3741E+00
   89    1.8648E+01   -4.6349E+01    4.7727E+01    2.4227E-02   -7.4340E+00   -5.9950E+00
   90    1.8648E+01   -4.6349E+01    4.3182E+01   -9.5923E-01   -8.3750E+00   -3.3479E+00
   91    1.8648E+01   -4.6349E+01    3.8636E+01   -1.0768E+00   -8.6339E+00   -1.8761E+00
   92    1.8648E+01   -4.6349E+01    3.4091E+01   -8.3499E-01   -8.6300E+00   -9.9924E-01
   93    1.8648E+01   -4.6349E+01    2.9545E+01   -4.4337E-01   -8.5820E+00   -5.3832E-01
   94    1.8648E+01   -4.6349E+01    2.5000E+01   -5.4028E-03   -8.5614E+00   -3.9492E-01
   95    1.8648E+01   -4.6349E+01    2.0455E+01    4.3153E-01   -8.5822E+00   -5.3678E-01
   96    1.8648E+01   -4.6349E+01    1.5909E+01    8.1959E-01   -8.6294E+00   -9.9651E-01
   97    1.8648E+01   -4.6349E+01    1.1364E+01    1.0542E+00   -8.6294E+00   -1.8727E+00
   98    1.8648E+01   -4.6349E+01    6.8182E+00    9.2492E-01   -8.3599E+00   -3.3434E+00
   99    1.8648E+01   -4.6349E+01    2.2727E+00   -7.2479E-02   -7.3957E+00   -5.9732E+00
  100    2.2317E+01   -4.4698E+01    4.7727E+01    2.4226E-01   -5.6901E+00   -3.4274E+00
  101    2.2317E+01   -4.4698E+01    4.3182E+01   -4.6276E-01   -6.5280E+00   -1.9211E+00
  102    2.2317E+01   -4.4698E+01    3.8636E+01   -6.4998E-01   -6.8669E+00   -9.9396E-01
  103    2.2317E+01   -4.4698E+01    3.4091E+01   -5.5884E-01   -6.9477E+00   -3.8347E-01
  104    2.2317E+01   -4.4698E+01    2.9545E+01   -3.1382E-01   -6.9455E+00   -3.9468E-02
  105    2.2317E+01   -4.4698E+01    2.5000E+01   -6.1692E-03   -6.9378E+00    7.1468E-02
  106    2.2317E+01   -4.4698E+01    2.0455E+01    3.0044E-01   -6.9446E+00   -3.7656E-02
  107    2.2317E+01   -4.4698E+01    1.5909E+01    5.4221E-01   -6.9447E+00   -3.7951E-01
  108    2.2317E+01   -4.4698E+01    1.1364E+01    6.2791E-01   -6.8597E+00   -9.8663E-01
  109    2.2317E+01   -4.4698E+01    6.8182E+00    4.3434E-01   -6.5134E+00   -1.9063E+00
  110    2.2317E+01   -4.4698E+01    2.2727E+00   -2.7273E-01   -5.6681E+00   -3.3898E+00
  111    2.5841E+01   -4.2757E+01    4.7727E+01    3.6901E-01   -4.4558E+00   -1.3720E+00
